"bin","age","income","age_scale","inc_scale","First Name","Last Name","Email"
"60-69",64,81647.6623233504,1.20713459854811,0.555091338875893,"Simon","Campbell","simoncampbell@yahoo.com"
"50-59",57,49641.1649696128,0.807657335532688,-0.596777394979773,"Nicolas","Slawa","nicolasslawa@yahoo.com"
"40-49",45,77524.0374125474,0.122839170363392,0.406687889650991,"Timothee","Fleury","timotheefleury@gmail.com"
"20-29",28,53172.2071624591,-0.847319896959777,-0.469700162663071,"Wendy","Bishop","wendybishop@gmail.com"
"70-79",71,41314.7270000696,1.60661186156353,-0.896434163276084,"Jennifer","Alexander","jenniferalexander@gmail.com"
"30-39",38,83409.6985970315,-0.27663809265203,0.618504541174825,"Méline","Martin","mélinemartin@aol.com"
"20-29",27,108598.518181212,-0.904388077390552,1.52501466007606,"Jeffery","Horton","jefferyhorton@gmail.com"
"70-79",79,61184.8504292667,2.06315730500973,-0.181336423495686,"Meral","Koyuncu","meralkoyuncu@yahoo.com"
"20-29",21,24815.3400491228,-1.2467971599752,-1.49022384749351,"Mathias","Mortensen","mathiasmortensen@gmail.com"
"50-59",52,72419.7572454097,0.522316433378815,0.222992039761971,"Thea","Olsen","theaolsen@gmail.com"
"70-79",76,40332.0727037536,1.89195276371741,-0.931798506571936,"Mathilde","Charles","mathildecharles@verizon.net"
"50-59",56,51691.0347465262,0.750589155101914,-0.52300547053561,"Tommi","Jäger","tommijäger@gmail.com"
"40-49",49,26619.4573273312,0.351111892086491,-1.42529620914528,"Brittany","Williamson","brittanywilliamson@comcast.net"
"30-39",39,50834.6770763487,-0.219569912221256,-0.553824576243212,"Johanne","Jørgensen","johannejørgensen@gmail.com"
"30-39",34,82198.6115769144,-0.504910814375129,0.574919226073533,"Leo","Reed","leoreed@yahoo.com"
"30-39",33,61400.2894683064,-0.561978994805904,-0.173583076093154,"Shady","Van Gemert","shadyvan gemert@gmail.com"
"30-39",38,104140.047780934,-0.27663809265203,1.3645605935738,"Lylou","Colin","lyloucolin@yahoo.com"
"80-",85,44221.8523103083,2.40556638759438,-0.791810820294964,"Alzira","Fogaça","alzirafogaça@verizon.net"
"20-29",26,64280.3251638365,-0.961456257821326,-0.0699346501687231,"Aaron","Fontai","aaronfontai@gmail.com"
"20-29",26,48793.240649907,-0.961456257821326,-0.627292996288795,"Cihangir","Arnts","cihangirarnts@gmail.com"
"20-29",29,72285.1752013227,-0.790251716529002,0.218148621658175,"Ece","Asikoglu","eceasikoglu@me.com"
"50-59",53,74958.2180150759,0.57938461380959,0.314347665477018,"Mathilde","Møller","mathildemøller@me.com"
"60-69",61,40704.9532801329,1.03593005725579,-0.918379060118723,"Ezra","Clarke","ezraclarke@verizon.net"
"50-59",53,29329.8363464868,0.57938461380959,-1.32775348791093,"Trinidad","Serrano","trinidadserrano@gmail.com"
"10-19",19,20907.6295726945,-1.36093352083675,-1.63085684050774,"Evelise","Pinto","evelisepinto@gmail.com"
"80-",83,26734.3047302115,2.29143002673283,-1.42116301296701,"Abigail","Sirko","abigailsirko@gmail.com"
"40-49",46,45972.9146793918,0.179907350794167,-0.728792553357267,"Ben","Walter","benwalter@gmail.com"
"30-39",36,53243.6948889665,-0.39077445351358,-0.467127420131821,"Daryl","Watson","darylwatson@gmail.com"
"40-49",41,88685.7955683326,-0.105433551359706,0.808383835708833,"Harley","Chen","harleychen@gmail.com"
"20-29",26,74355.5194668471,-0.961456257821326,0.292657394093296,"Elya","Dupuis","elyadupuis@msn.com"
"20-29",20,25294.8261837486,-1.30386534040597,-1.47296781723538,"Benno","Hennig","bennohennig@hotmail.com"
"60-69",65,58871.6418552874,1.26420277897889,-0.264585540129889,"Sophia","Li","sophiali@gmail.com"
"30-39",35,115957.593033816,-0.447842633944354,1.78985739307284,"Nicole","Esser","nicoleesser@msn.com"
"30-39",37,64743.3447953469,-0.333706273082805,-0.0532712261519144,"Rachel","Gregory","rachelgregory@yahoo.com"
"20-29",23,30595.5915751626,-1.13266079911365,-1.28220074102606,"Ayla","Evans","aylaevans@verizon.net"
"30-39",32,80561.7719121088,-0.619047175236678,0.516011673291779,"Christian","Larsen","christianlarsen@verizon.net"
"60-69",64,96856.8602337808,1.20713459854811,1.10244893775423,"Cléo","Lucas","cléolucas@gmail.com"
"40-49",40,71022.8148954331,-0.162501731790481,0.172718053260009,"Alexis","Thompson","alexisthompson@gmail.com"
"30-39",37,46219.2343356578,-0.333706273082805,-0.719927856059994,"Ellen","Brunner","ellenbrunner@live.com"
"30-39",39,90082.2800017243,-0.219569912221256,0.858641342438235,"Bently","Lavigne","bentlylavigne@gmail.com"
"20-29",28,73994.8442433176,-0.847319896959777,0.279677201088468,"Anaëlle","Blanchard","anaëlleblanchard@gmail.com"
"30-39",32,80243.6385784513,-0.619047175236678,0.50456250295029,"Loren","Ten Veen","lorenten veen@me.com"
"50-59",56,54756.7206169896,0.750589155101914,-0.412675756447182,"Florent","Berger","florentberger@gmail.com"
"30-39",31,115530.300488572,-0.676115355667453,1.77447973654153,"Sharon","Carpenter","sharoncarpenter@me.com"
"40-49",47,41898.8780719707,0.236975531224942,-0.875411389426931,"Lincoln","Walker","lincolnwalker@me.com"
"30-39",38,87741.0349451933,-0.27663809265203,0.774383232308065,"Lucia","Meyer","luciameyer@gmail.com"
"40-49",47,72636.9818998063,0.236975531224942,0.230809648944778,"Max","Thompson","maxthompson@gmail.com"
"30-39",37,84425.1334856989,-0.333706273082805,0.655048611792586,"Terrance","Vasquez","terrancevasquez@aol.com"
"30-39",36,64848.4962805798,-0.39077445351358,-0.0494869723855735,"Louna","David","lounadavid@comcast.net"
"30-39",34,72293.9662170863,-0.504910814375129,0.218464997926563,"Loane","Lacroix","loanelacroix@live.com"
"50-59",54,66033.417561265,0.636452794240364,-0.00684332537175518,"Danielle","Lord","daniellelord@yahoo.com"
"30-39",33,69204.2032994682,-0.561978994805904,0.107268784842179,"Paula","Moreira","paulamoreira@verizon.net"
"40-49",47,77449.5423899579,0.236975531224942,0.404006918771849,"Curtis","Howard","curtishoward@mail.com"
"30-39",36,112396.119105391,-0.39077445351358,1.6616849654793,"Kübra","Öymen","kübraöymen@gmail.com"
"50-59",53,90915.4010007645,0.57938461380959,0.888624193098428,"Emil","Pedersen","emilpedersen@gmail.com"
"20-29",23,14456.5149884025,-1.13266079911365,-1.86302336301222,"Ivan","Holmes","ivanholmes@gmail.com"
"60-69",64,43508.4245039912,1.20713459854811,-0.817486081629486,"Jeanne","Barnaby","jeannebarnaby@gmail.com"
"50-59",59,58943.5992835528,0.921793696394238,-0.261995893694307,"Latife","Beserler","latifebeserler@gmail.com"
"30-39",30,58416.5735778022,-0.733183536098228,-0.280962806120963,"Nicklas","Nielsen","nicklasnielsen@gmail.com"
"50-59",51,82340.0129726118,0.46524825294804,0.580008063031457,"Gabriel","Martin","gabrielmartin@verizon.net"
"60-69",66,51038.1323879101,1.32127095940966,-0.546502506304276,"Julio","Diez","juliodiez@verizon.net"
"50-59",51,105198.055948189,0.46524825294804,1.40263681649054,"Claudine","Da Cunha","claudineda cunha@gmail.com"
"30-39",31,65492.4681899493,-0.676115355667453,-0.0263113308998474,"Amaury","Louis","amaurylouis@gmail.com"
"30-39",32,71322.0793444031,-0.619047175236678,0.183488159033012,"Marcus","Pedersen","marcuspedersen@msn.com"
"50-59",59,82292.3734296447,0.921793696394238,0.578293583017211,"Maitê","Araújo","maitêaraújo@gmail.com"
"40-49",47,84760.9346976887,0.236975531224942,0.667133624176383,"Arne","Möller","arnemöller@aol.com"
"30-39",34,53068.4635273615,-0.504910814375129,-0.473433749887089,"Dewi","Gieling","dewigieling@yahoo.com"
"50-59",53,45072.6458532367,0.57938461380959,-0.76119195968568,"Joshua","Hughes","joshuahughes@aol.com"
"60-69",67,35890.5120461814,1.37833913984043,-1.09164401526467,"Emilio","Esteban","emilioesteban@gmail.com"
"60-69",62,81394.8139674621,1.09299823768656,0.545991682879935,"Bento","Lopes","bentolopes@gmail.com"
"30-39",37,59226.2908150207,-0.333706273082805,-0.251822223866433,"Ariane","Jean-Baptiste","arianejean-baptiste@msn.com"
"30-39",33,32736.0981713751,-0.561978994805904,-1.20516692518738,"Alexis","Lavoie","alexislavoie@live.com"
"80-",87,32436.3434546025,2.51970274845593,-1.21595467500768,"Linda","Henderson","lindahenderson@gmail.com"
"50-59",56,79680.9486730983,0.750589155101914,0.484312086240552,"Etelvina","Rocha","etelvinarocha@mail.com"
"70-79",76,40351.3326641801,1.89195276371741,-0.931105367738736,"Nella","Peura","nellapeura@gmail.com"
"40-49",42,81759.2762094354,-0.0483653709289317,0.559108165341611,"Norah","Rousseau","norahrousseau@gmail.com"
"40-49",44,84803.1339904058,0.0657709899326176,0.668652317250931,"David","Martin","davidmartin@hotmail.com"
"20-29",27,63907.4403047572,-0.904388077390552,-0.0833542507502741,"Ava","Singh","avasingh@live.com"
"50-59",53,44385.5734298598,0.57938461380959,-0.785918727930124,"Alvaro","Cabrera","alvarocabrera@gmail.com"
"30-39",36,90231.0269049514,-0.39077445351358,0.863994533860324,"Jeremy","Holland","jeremyholland@gmail.com"
"70-79",73,67931.061871399,1.72074822242508,0.0614502190503182,"Anna","Arnaud","annaarnaud@yahoo.com"
"50-59",55,47396.1971327357,0.693520974671139,-0.677570623655523,"Candice","Gonzales","candicegonzales@yahoo.com"
"40-49",46,86099.9709202705,0.179907350794167,0.715323650758972,"Sarah","Jennings","sarahjennings@mail.com"
"40-49",47,58270.5267723473,0.236975531224942,-0.286218824829406,"Veronica","Frazier","veronicafrazier@yahoo.com"
"60-69",61,92066.4327050781,1.03593005725579,0.930048202018311,"Gordon","Franklin","gordonfranklin@verizon.net"
"30-39",37,47215.4293384976,-0.333706273082805,-0.684076201818908,"Viktor","Hahn","viktorhahn@msn.com"
"30-39",32,128030.934691156,-0.619047175236678,2.22435994468126,"Johanna","Miller","johannamiller@yahoo.com"
"20-29",24,23560.2803621787,-1.07559261868288,-1.5353916769044,"Amber","Jordan","amberjordan@hotmail.com"
"20-29",26,74028.1946392943,-0.961456257821326,0.280877434839844,"Silke","Poulsen","silkepoulsen@verizon.net"
"40-49",43,105496.604523844,0.00870280950184294,1.41338115899179,"Rasmus","Kurtti","rasmuskurtti@live.com"
"30-39",30,61837.5403370915,-0.733183536098228,-0.157847033531597,"Lachlan","Edwards","lachlanedwards@verizon.net"
"30-39",39,82157.74416036,-0.219569912221256,0.573448465345103,"Toivo","Heinonen","toivoheinonen@me.com"
"20-29",25,91630.8742790576,-1.0185244382521,0.914373068086738,"Zoe","Chan","zoechan@yahoo.com"
"30-39",33,81457.4436197215,-0.561978994805904,0.548245635802447,"Bastien","Lemaire","bastienlemaire@gmail.com"
"40-49",45,76403.1685718881,0.122839170363392,0.366349399686305,"Albane","Andre","albaneandre@gmail.com"
"60-69",62,82888.8043532477,1.09299823768656,0.599758291423448,"Eve","Joly","evejoly@gmail.com"
"30-39",36,65506.2899902767,-0.39077445351358,-0.0258139037847597,"Signe","Møller","signemøller@aol.com"
"70-79",76,58673.5053639687,1.89195276371741,-0.271716193223962,"Elias","Kumpula","eliaskumpula@me.com"
"20-29",21,37414.7831947844,-1.2467971599752,-1.03678764474123,"William","Harris","williamharris@gmail.com"
"30-39",37,97669.2141468281,-0.333706273082805,1.13168441025604,"Holly","Bryant","hollybryant@aol.com"
"40-49",40,75157.5669428286,-0.162501731790481,0.321521952449697,"Anastasia","Busch","anastasiabusch@aol.com"
"50-59",56,54063.5186657454,0.750589155101914,-0.43762311776139,"Robin","Sturm","robinsturm@live.com"
"60-69",66,48098.2131696154,1.32127095940966,-0.652306055820749,"Ezra","Wood","ezrawood@gmail.com"
"50-59",52,88865.2341470799,0.522316433378815,0.814841577279932,"Ronja","Wirta","ronjawirta@gmail.com"
"40-49",44,87873.8593159293,0.0657709899326176,0.779163394225001,"Luca","Wright","lucawright@gmail.com"
"50-59",59,37196.4047653046,0.921793696394238,-1.0446467766633,"James","Ma","jamesma@gmail.com"
"20-29",21,48101.8459087828,-1.2467971599752,-0.652175318657637,"Ana","Vega","anavega@gmail.com"
"30-39",31,62026.0821301024,-0.676115355667453,-0.151061680108069,"Ali","Tokgöz","alitokgöz@me.com"
"30-39",37,20625.3455121733,-0.333706273082805,-1.64101584603048,"Ross","James","rossjames@yahoo.com"
"20-29",20,11926.0001643735,-1.30386534040597,-1.95409302534179,"Ahmed","Swartjes","ahmedswartjes@gmail.com"
"20-29",24,32648.0586577757,-1.07559261868288,-1.20833534321008,"Nina","Kopp","ninakopp@live.com"
"50-59",56,59709.7984527263,0.750589155101914,-0.234421465379861,"Sienna","Evans","siennaevans@gmail.com"
"20-29",25,93696.1152209733,-1.0185244382521,0.988698179097159,"Eetu","Juntunen","eetujuntunen@gmail.com"
"30-39",34,107013.226911608,-0.504910814375129,1.46796226139183,"Ramon","Castillo","ramoncastillo@yahoo.com"
"30-39",36,83608.3841626896,-0.39077445351358,0.625654954680577,"Ryder","Hall","ryderhall@live.com"
"70-79",78,36939.5025899089,2.00608912457896,-1.05389232391039,"Emma","Keranen","emmakeranen@live.com"
"70-79",72,42099.0082709855,1.66368004199431,-0.868208985602554,"Antonio","Perkins","antonioperkins@live.com"
"30-39",35,27823.4573974445,-0.447842633944354,-1.38196594338718,"Anael","De Souza","anaelde souza@gmail.com"
"30-39",37,103557.294642066,-0.333706273082805,1.34358812936443,"Nelson","Harrison","nelsonharrison@gmail.com"
"50-59",52,88580.5398420777,0.522316433378815,0.804595830455015,"Caitlin","Hawkins","caitlinhawkins@gmail.com"
"30-39",35,95988.7737664281,-0.447842633944354,1.07120772916537,"Carolien","Boelen","carolienboelen@gmail.com"
"50-59",52,9647.32988943969,0.522316433378815,-2.03609915726726,"Natacha","Rodrigues","natacharodrigues@verizon.net"
"20-29",25,77778.8302633527,-1.0185244382521,0.415857525278687,"Ashley","Owens","ashleyowens@live.com"
"40-49",42,107786.746824582,-0.0483653709289317,1.49580015295873,"Felix","White","felixwhite@live.com"
"40-49",46,68850.490936867,0.179907350794167,0.0945391753895866,"Andrew","Duncan","andrewduncan@yahoo.com"
"60-69",61,77646.538711192,1.03593005725579,0.411096538751389,"Stephanus","Harteveld","stephanusharteveld@gmail.com"
"70-79",71,30706.7678334747,1.60661186156353,-1.27819966416715,"Thomas","Lavigne","thomaslavigne@yahoo.com"
"60-69",68,36409.3711719705,1.43540732027121,-1.07297100654188,"Flora","Dufour","floradufour@comcast.net"
"70-79",76,43134.3317476538,1.89195276371741,-0.830949152731098,"Rachel","Garza","rachelgarza@yahoo.com"
"40-49",41,78343.0949515907,-0.105433551359706,0.436164616205157,"Chris","Castillo","chriscastillo@gmail.com"
"50-59",51,110609.866674506,0.46524825294804,1.59740025780978,"Lena","Wendt","lenawendt@gmail.com"
"30-39",30,93523.282143464,-0.733183536098228,0.982478160206659,"Carter","Wood","carterwood@gmail.com"
"30-39",33,84128.4619264496,-0.561978994805904,0.644371820466541,"Travis","Stewart","travisstewart@yahoo.com"
"20-29",25,110649.904014596,-1.0185244382521,1.59884114525606,"Abel","Vincent","abelvincent@hotmail.com"
"40-49",41,76355.5417458696,-0.105433551359706,0.364635377337118,"Ramona","Johnston","ramonajohnston@verizon.net"
"60-69",67,66202.2458728347,1.37833913984043,-0.000767432363610443,"Ademir","Viana","ademirviana@gmail.com"
"20-29",25,105637.945903204,-1.0185244382521,1.41846783604631,"Herbert","Foster","herbertfoster@yahoo.com"
"20-29",29,58834.9106761206,-0.790251716529002,-0.265907443503828,"Nella","Tuomi","nellatuomi@gmail.com"
"20-29",29,104412.977920313,-0.790251716529002,1.37438296465686,"Jonathan","Poulsen","jonathanpoulsen@live.com"
"80-",83,56645.0819964032,2.29143002673283,-0.344716291619549,"Kübra","Karabulut","kübrakarabulut@hotmail.com"
"40-49",48,98733.062363997,0.294043711655716,1.16997080833896,"Ricardo","Clark","ricardoclark@gmail.com"
"20-29",24,29751.9945269808,-1.07559261868288,-1.31256060993124,"Mabel","Wood","mabelwood@comcast.net"
"20-29",29,115475.120999873,-0.790251716529002,1.77249390450623,"Graciane","Lima","gracianelima@gmail.com"
"30-39",32,133892.447987234,-0.619047175236678,2.43530754773233,"Anna","Møller","annamøller@gmail.com"
"30-39",30,103246.067574142,-0.733183536098228,1.33238750579388,"Abigail","Robinson","abigailrobinson@gmail.com"
"20-29",28,95033.1451821328,-0.847319896959777,1.03681600315853,"Daniel","Barnaby","danielbarnaby@gmail.com"
"30-39",32,117516.130356397,-0.619047175236678,1.84594695490734,"Deniz","Fahri","denizfahri@yahoo.com"
"20-29",23,31070.5160084113,-1.13266079911365,-1.26510887997181,"Tyler","Wilson","tylerwilson@gmail.com"
"30-39",36,96890.778799513,-0.39077445351358,1.1036696191344,"Kirk","Davis","kirkdavis@gmail.com"
"20-29",28,104061.209157884,-0.847319896959777,1.3617233026354,"Rayan","Saleh","rayansaleh@gmail.com"
"30-39",30,67290.700485838,-0.733183536098228,0.0384045152282449,"Jeffery","Snyder","jefferysnyder@verizon.net"
"20-29",24,1484.84855372666,-1.07559261868288,-2.32985535737174,"Julius","Wittmann","juliuswittmann@live.com"
"20-29",24,36228.413340895,-1.07559261868288,-1.07948342386323,"Juliette","Grewal","juliettegrewal@gmail.com"
"60-69",69,64979.7951892657,1.49247550070198,-0.0447617096980273,"Jordano","Pires","jordanopires@hotmail.com"
"80-",83,34950.0527530914,2.29143002673283,-1.12548981985871,"Kilian","Kiefer","kiliankiefer@yahoo.com"
"20-29",24,35455.7424815028,-1.07559261868288,-1.10729075918827,"Victor","Madsen","victormadsen@verizon.net"
"20-29",23,22292.9815003367,-1.13266079911365,-1.58099997697151,"Quinn","Lewis","quinnlewis@live.com"
"20-29",28,103932.031068539,-0.847319896959777,1.35707436524712,"Silas","Thomsen","silasthomsen@gmail.com"
"40-49",44,105510.885935987,0.0657709899326176,1.41389512688841,"Ömür","Özgörkey","ömürözgörkey@gmail.com"
"20-29",21,30460.7228514307,-1.2467971599752,-1.28705447632627,"Jevon","Schaareman","jevonschaareman@aol.com"
"20-29",22,45743.9649257535,-1.18972897954443,-0.737032132337912,"Isabella","Sirko","isabellasirko@gmail.com"
"40-49",44,110291.851337626,0.0657709899326176,1.58595533400603,"Paul","Roussel","paulroussel@gmail.com"
"40-49",45,67339.9635479273,0.122839170363392,0.0401774234077159,"Barbara","Jacobs","barbarajacobs@gmail.com"
"30-39",33,106834.909269235,-0.561978994805904,1.46154486074114,"Ezra","Green","ezragreen@live.com"
"40-49",42,73690.2215468158,-0.0483653709289317,0.268714259538031,"Maika","Van Ingen","maikavan ingen@gmail.com"
"20-29",28,67359.6364570016,-0.847319896959777,0.0408854236807926,"David","Herrero","davidherrero@verizon.net"
"30-39",39,62337.1462548403,-0.219569912221256,-0.139866920633148,"Juliette","Grewal","juliettegrewal@mail.com"
"30-39",39,131995.693836999,-0.219569912221256,2.36704603891055,"Janice","Burke","janiceburke@gmail.com"
"30-39",35,56729.1588009364,-0.447842633944354,-0.341690485911603,"Pippa","Johnson","pippajohnson@gmail.com"
"60-69",68,34641.2241365324,1.43540732027121,-1.13660412654472,"Marion","Willis","marionwillis@gmail.com"
"60-69",69,44130.0883881438,1.49247550070198,-0.79511327453321,"Cory","Rhodes","coryrhodes@me.com"
"30-39",33,78151.5971622061,-0.561978994805904,0.429272880637946,"Kerttu","Arola","kerttuarola@gmail.com"
